Authors,Title,Publication year,Pages,Page Count,ISBN,URLs,Abstract,Keywords
"Hong P,Wu D,Li B,Wang W",Camera-Specific Informative Data Augmentation Module for Unbalanced Person Re-Identification,2022,501–510,9,9781450392037,https://doi.org/10.1145/3503161.3548070,"Person re-identification (Re-ID) aims at retrieving the same person across the non-overlapped camera networks. Recent works have achieved impressive performance due to the rapid development of deep learning techniques. However, most existing methods have ignored the practical unbalanced property in real-world Re-ID scenarios. In fact, the number of pedestrian images in different cameras vary a lot. Some cameras cover thousands of images while others only have a few. As a result, the camera-unbalanced problem will reduce intra-camera diversity, then the model cannot learn camera-invariant features to distinguish pedestrians from poor cameras. In this paper, we design a novel camera-specific informative data augmentation module (CIDAM) to alleviate the proposed camera-unbalanced problem. Specifically, we first calculate the camera-specific distribution online, then refine the poor camera-specific covariance matrix with similar cameras defined in the prototype-based similarity matrix. Consequently, informative augmented samples are generated by combining original samples with sampled random vectors in feature space. To ensure these augmented samples can better benefit the model training, we further propose a dynamic-threshold-based contrastive loss. Since augmented samples may not be as real as original ones, we calculate a threshold for each original one dynamically and only push hard negative augmented samples away. Moreover, our CIDAM can be compatible with a variety of existing Re-ID methods. Extensive experiments prove the effectiveness of our method.","camera-specific distribution refinement, informative data augmentation, unbalanced person re-identification"
"Fan R,Delage E",Risk-Aware Bid Optimization for Online Display Advertisement,2022,457–467,10,9781450392365,https://doi.org/10.1145/3511808.3557436,"This research focuses on the bid optimization problem in the real-time bidding setting for online display advertisements, where an advertiser, or the advertiser's agent, has access to the features of the website visitor and the type of ad slots, to decide the optimal bid prices given a predetermined total advertisement budget. We propose a risk-aware data-driven bid optimization model that maximizes the expected profit for the advertiser by exploiting historical data to design upfront a bidding policy, mapping the type of advertisement opportunity to a bid price, and accounting for the risk of violating the budget constraint during a given period of time. After employing a Lagrangian relaxation, we derive a parametrized closed-form expression for the optimal bidding strategy. Using a real-world dataset, we demonstrate that our risk-averse method can effectively control the risk of overspending the budget while achieving a competitive level of profit compared with the risk-neutral model and a state-of-the-art data-driven risk-aware bidding approach.","machine learning, display advertising, risk aversion, lagrangian relaxation, real-time bidding, entropic risk measure, risk-aware bidding policy"
"Kim Y,Fourney A,Kamar E",Studying Preferences and Concerns about Information Disclosure in Email Notifications,2019,874–885,11,9781450366748,https://doi.org/10.1145/3308558.3313451,"People receive dozens, or hundreds, of notifications per day and each notification poses some risk of accidental information disclosure in the presence of others; onlookers may see notifications on a mobile phone lock screen, on the periphery of a desktop or laptop display. We quantify the prevalence of these accidental disclosures in the context of email notifications, and we study people's relevant preferences and concerns. Our results are compiled from a retrospective survey of 131 respondents, and a contextual-labeling study where 169 participants labeled 1,040 meeting-email pairs. We find that, for 53% of people, at least 1 in 10 email notifications poses an information disclosure risk, and the real or perceived severity of these risks depend both on user characteristics and the meeting or email attributes. We conclude by exploring machine learning for predicting people's comfort levels, and we present implications for the design of future social-context aware notification systems.","Notifications, information disclosure, privacy, virtual assistants"
"Svaigen AR,Boukerche A,Ruiz LB,Loureiro AA",Analyzing the UAVs Traffic Flow to Enhance the Drone's Anonymization on the Internet of Drones,2022,45–52,7,9781450394826,https://doi.org/10.1145/3551662.3561198,"The Internet of Drones (IoD) is a novel mobile network paradigm with particular aspects, demanding security and privacy requirements. Mix Zones (MZ) is a location privacy protection mechanism in traditional mobile networks focusing on anonymizing a node's identity. In this regard, Mix Zone Placement (MZP) is a current challenge related to the design of MZ in IoD. As occur in terrestrial mobile environments, analyzing the vehicles' traffic flow can lead to enhanced strategies to solve MZP. This study conducts the first technical analysis of the MZP in this paradigm. We investigate three MZP strategies: an empirical MZP, a strategy based on visitation frequency, and an Ant-Colony Optimization (ACO) method. Our results reveal a deep relation between the drone's traffic flow and the MZP. Moreover, the ACO method is suitable for deployment in a location privacy protection mechanism, overcoming other strategies regarding location privacy, diversity, and efficiency.","location privacy, mix zone placement, internet of drones"
"Syed MH,Fernandez EB",A Pattern for a Virtual Machine Environment,2016,,0,,,"A Virtual Machine Environment (VME) creates and manages Virtual Machines which are isolated units of execution with access to virtualized hardware resources. VMs are created by the VME upon user request. VMs are not new, but their significance has increased tremendously with the use of clouds as a means to offer sharing of resources and providing inexpensive, on-demand, isolated units of execution. A VME enables users to execute different types of operating systems and application stack in each VM. We present a pattern for a Virtual Machine Environment which describes its benefits and liabilities. Alternative solutions for portable execution environments have appeared, such as software containers, but still VMs continue to be the most versatile and flexible among the virtualization solutions because of their security and flexibility.","software container, virtualization, security, architecture patterns, virtual machine, security patterns"
"Wu M,Zeng H,Wang C,Yu H",Safety Guard: Runtime Enforcement for Safety-Critical Cyber-Physical Systems: Invited,2017,,0,9781450349277,https://doi.org/10.1145/3061639.3072957,"Due to their safety-critical nature, cyber-physical systems (CPS) must tolerate faults and security attacks to remain fail-operational. However, conventional techniques for improving safety, such as testing and validation, do not meet this requirement, as shown by many of the real-world system failures in recent years, often with major economic and public-safety implications. We aim to improve the safety of critical CPS through synthesis of runtime enforcers, named safety guards, which are reactive components attached to the original systems to protect them against catastrophic failures. That is, even if the system occasionally malfunctions due to unknown defects, transient errors, or malicious attacks, the guard always reacts instantaneously to ensure that the combined system satisfies a predefined set of safety properties, and the deviation from the original system is kept at minimum. We illustrate the main ideas of this approach with examples, discuss the advantages compared to existing approaches, and point out some research challenges.","reactive synthesis, Safety and security, software synthesis, runtime enforcement, real-time schedulability"
"Syed MH,Fernandez EB,Silva P",The Secure Software Container Pattern,2017,,0,9781941652060,,"Software containers have gained large popularity as portable lightweight virtualization components. They have enabled development approaches like DevOps by facilitating application deployment and distribution across computing environments. Containers offer operating-system-level virtualization where applications are executed in isolated environments sharing a host operating system (OS), binaries, and libraries with other containers. Containers offer low overhead and near native performance as compared to virtual machines (VMs). However, there are tradeoffs like flexibility and security when compared to VMs. This closer integration and interaction with their Host OS also results in an increased attack surface, host resources are exposed to the applications which can lead to security threats. The security of containers has improved since their inception but they still exhibit vulnerabilities that need to be addressed to enable their full adoption. We present a pattern for a Secure Software Container, which describes their security threats and possible defenses.","architecture patterns, security, container ecosystem, virtualization, software containers, security patterns"
"Lu D,Zhang X,Xu X,He X,Liu Y",The Prognosis Prediction of GBM Based on High-Risk Subregion and Multi-Parametric MR Imaging,2019,214–217,3,9781450372626,https://doi.org/10.1145/3364836.3364878,"Background and object As a heterogeneous tumor, the prognosis information may be different in different region of glioblastoma multiforme (GBM), thus, it's essential to obtain the subregions and evaluate the prognosis of GBM using the high-risk subregions. Based on multi-parametric MR imaging, clearing the purpose of this paper is obtaining the high-risk subregions in GBM and evaluating the GBM prognosis using Multiple Instance Learning (MIL).Methods A total of 104 GBM patients (57 in long-term and 47 in short-term survival group, separated by overall survival of 12 months) were selected from the cancer genome atlas (TCGA), who underwent the T1-weighted contrast-enhanced (T1W-CE), T1-weighted (T1W), T2-weighted (T2W) and FLAIR sequences. In this paper, a region segmentation pattern was presented to characterize the tumor heterogeneity based on machine learning. Combined with four imaging parameters, the GBM region is segmented into multiple subregions by K-means clustering. Extracting the features of co-occurrence matrix, run-length matrix, size zone, and histogram matrix about subregion for building multi-instance bag. A prognostic prediction model was proposed in virtue of the MIL method, using instances to establish a classifier of predicting the high-risk subregions and realizing the prognosis prediction. Finally, the performance of prognosis prediction using instance-based MIL in GBM is presented and the clinical significance is evaluated.Result Training the classifier using discovery cohorts (71 patients including 200 instances) and testing the validation cohorts (33 patients including 94 instances), with the accuracy, sensitivity, and specificity of 81.82%, 76.92%, and 85.00%, respectively. This is superior to our previous results about prognosis prediction with the whole tumor region.Conclusion The prognosis prediction result of our GBM heterogeneity analysis pattern proving the feasibility of the intratumor segmentation using K-means clustering and the effectiveness of Multiple-Instance Learning (MIL) method. It is of benefit to the analysis of GBM high-risk factor, with research value and clinical significance.The intratumor segmentation of the tumor region and the identification of high-risk subregions is benefit to prognosis prediction of GBM, which may be also suitable for other heterogenous tumor.","multiple instance learning (MIL), magnetic resonance (MR) imaging, Glioblastoma, high-risk subregion, heterogeneity"
"Zhang H,Zhang W,Rong Y,Ren K,Li W,Wang J",Managing Risk of Bidding in Display Advertising,2017,581–590,9,9781450346757,https://doi.org/10.1145/3018661.3018701,"In this paper, we deal with the uncertainty of bidding for display advertising. Similar to the financial market trading, real-time bidding (RTB) based display advertising employs an auction mechanism to automate the impression level media buying; and running a campaign is no different than an investment of acquiring new customers in return for obtaining additional converted sales. Thus, how to optimally bid on an ad impression to drive the profit and return-on-investment becomes essential. However, the large randomness of the user behaviors and the cost uncertainty caused by the auction competition may result in a significant risk from the campaign performance estimation. In this paper, we explicitly model the uncertainty of user click-through rate estimation and auction competition to capture the risk. We borrow an idea from finance and derive the value at risk for each ad display opportunity. Our formulation results in two risk-aware bidding strategies that penalize risky ad impressions and focus more on the ones with higher expected return and lower risk. The empirical study on real-world data demonstrates the effectiveness of our proposed risk-aware bidding strategies: yielding profit gains of 15.4% in offline experiments and up to 17.5% in an online A/B test on a commercial RTB platform over the widely applied bidding strategies.","risk-aware bidding strategy, demand-side platform, value at risk, real-time bidding, display advertising"
"Reddy DS,Saha A,Tamilselvam SG,Agrawal P,Dayama P",Risk Averse Reinforcement Learning for Mixed Multi-Agent Environments,2019,2171–2173,2,9781450363099,,"Most real world applications of multi-agent systems, need to keep a balance between maximizing the rewards and minimizing the risks. In this work we consider a popular risk measure, variance of return (VOR), as a constraint in the agent's policy learning algorithm in the mixed cooperative and competitive environments. We present a multi-timescale actor critic method for risk sensitive Markov games where the risk is modeled as a VOR constraint. We also show that the risk-averse policies satisfy the desired risk constraint without compromising much on the overall reward for a popular task.","risk-sensitive reinforcement learning, actor-critic algorithms, mixed multi-agent environments"
"Syed MH,Fernandez EB",The Secure Container Manager Pattern,2020,,0,,,"Software containers have become very popular recently as flexible and portable operating-system-level virtualization solutions. They offer isolated virtual execution environments for applications while sharing host operating system, binaries and libraries with other containers. Containers are used to test and deploy applications. Large numbers of containers in a cluster can be organized, orchestrated and managed by container managers. Container managers facilitate optimal resource utilization for efficient and balanced execution of workloads. Container managers allow automation of tasks related to organization, scheduling and distribution of applications running in containers and they also improve the performance of applications running in them by supporting scalability and replication in distributed application environments. While these systems have a lot of benefits, they can only be utilized to their full potential if they are secure. Container managers incorporate various security features. We present in this paper a pattern for the security of container managers.","container ecosystem, clouds, virtualization, container cluster management, cloud ecosystem, security, software containers, security patterns, architecture patterns, microservices"
"Majhi SK,Bera P",A Security Enforcement Framework for Virtual Machine Migration Auction,2015,47–53,6,9781450338219,https://doi.org/10.1145/2809826.2809829,"Virtual machine migration auction (VMMA) is a bidding process to select potential target cloud service providers (CSPs) for migration. It is realized as a single application running on top of the hypervisor, where the overall communication between the CSPs is done through the Internet, an insecure channel. Therefore, ensuring security along with performance satisfaction of the VMMA system is an important but challenging problem. This requires identification of various threats and development of security and systematic protection mechanism.In this paper, we present a security enforcement framework for VMMA system. The core element of our proposed framework identifies various potential threats and security constraints by investigating different interactions between participants in VMMA system. Then our framework extracts a set of formal security requirements based on the identified threats which enforces the security by using elliptic curve cryptography and bilinear pairing. Our approach will facilitate in designing and implementing strong security defense-in-depth against various threats to VMMA system in cloud computing platform.","security requirements, VM migration auction cloud service providers, threat model, virtual machine"
"Dangl T,Taubmann B,Reiser HP",RapidVMI: Fast and Multi-Core Aware Active Virtual Machine Introspection,2021,,0,9781450390514,https://doi.org/10.1145/3465481.3465752,"Virtual machine introspection (VMI) is a technique for the external monitoring of virtual machines. Through previous work, it became apparent that VMI can contribute to the security of distributed systems and cloud architectures by facilitating stealthy intrusion detection, malware analysis, and digital forensics. The main shortcomings of active VMI-based approaches such as program tracing or process injection in production environments result from the side effects of writing to virtual address spaces and the parallel execution of shared main memory on multiple processor cores. In this paper, we present RapidVMI, a framework for active virtual machine introspection that enables fine-grained, multi-core aware VMI-based memory access on virtual address spaces. It was built to overcome the outlined shortcomings of existing VMI solutions and facilitate the development of introspection applications as if they run in the monitored virtual machine itself. Furthermore, we demonstrate that hypervisor support for this concept improves introspection performance in prevalent virtual machine tracing applications considerably up to 98 times.","security, second level address translation, virtualization, virtual machine introspection, semantic gap"
"Pârtachi PP,Dash SK,Treude C,Barr ET",POSIT: Simultaneously Tagging Natural and Programming Languages,2020,1348–1358,10,9781450371216,https://doi.org/10.1145/3377811.3380440,"Software developers use a mix of source code and natural language text to communicate with each other: Stack Overflow and Developer mailing lists abound with this mixed text. Tagging this mixed text is essential for making progress on two seminal software engineering problems --- traceability, and reuse via precise extraction of code snippets from mixed text. In this paper, we borrow code-switching techniques from Natural Language Processing and adapt them to apply to mixed text to solve two problems: language identification and token tagging. Our technique, POSIT, simultaneously provides abstract syntax tree tags for source code tokens, part-of-speech tags for natural language words, and predicts the source language of a token in mixed text. To realize POSIT, we trained a biLSTM network with a Conditional Random Field output layer using abstract syntax tree tags from the CLANG compiler and part-of-speech tags from the Standard Stanford part-of-speech tagger. POSIT improves the state-of-the-art on language identification by 10.6% and PoS/AST tagging by 23.7% in accuracy.","language identification, code-switching, part-of-speech tagging, mixed-code"
"Huang X,Yang Y,Wu X",A Meta-Heuristic Computation Offloading Strategy for IoT Applications in an Edge-Cloud Framework,2020,,0,9781450376617,https://doi.org/10.1145/3386164.3390513,"Edge-cloud computing provides performance guarantees for IoT applications which are real-time or security sensitive. The new placement of edge-cloud services leverages resources both in Cloud Data Centers (CDC) and at the edge of the network. A computation task can be divided into subtasks and offloaded to different edge/cloud servers, which are donated as offloading destinations. Offloading destination heterogeneity and different architecture of Edge Data Center (EDC) and CDC bring challenges to computation offloading. One critical issue in edge-cloud computing is energy consumption in computation offloading. The existing computation offloading strategies either ignored energy consumption or ignored delay and/or security constraints.Meta-heuristic strategies have been used widely to design heuristic resource allocation algorithms in CDC. This paper aims to explore meta-heuristic energy-efficient computation offloading (EE-CO) approaches with the objective to meet the delay and security constraints, while minimizing energy consumption. To achieve the goal, we investigated the performance of the Ant-Colony-Optimization (ACO) strategies combining with mixed integer programming (MIP). We propose an ACO-based computation offloading strategy, which including two algorithms, called EA-OMIP and EA-RMIP, respectively. The only difference of them is the construction method of integer programming models. Simulations are carried out to value the performance of proposed two algorithms. We also give an analysis of the experimental results in terms of the subtask acceptance ratio, revenue of the cloud service provider (CSP), and the resource utilization.","Edge-cloud computing, Energy-efficient, Computation offloading, Mixed integer programming, DelayK@Security, IoT"
"Zandberg K,Baccelli E,Yuan S,Besson F,Talpin JP",Femto-Containers: Lightweight Virtualization and Fault Isolation for Small Software Functions on Low-Power IoT Microcontrollers,2022,161–173,12,9781450393409,https://doi.org/10.1145/3528535.3565242,"Low-power operating system runtimes used on IoT microcontrollers typically provide rudimentary APIs, basic connectivity and, sometimes, a (secure) firmware update mechanism. In contrast, on less constrained hardware, networked software has entered the age of serverless, microservices and agility. With a view to bridge this gap, in the paper we design Femto-Containers, a new middleware runtime which can be embedded on heterogeneous low-power IoT devices. Femto-Containers enable the secure deployment, execution and isolation of small virtual software functions on low-power IoT devices, over the network. We implement Femto-Containers, and provide integration in RIOT, a popular open source IoT operating system. We then evaluate the performance of our implementation, which was formally verified for fault-isolation, guaranteeing that RIOT is shielded from logic loaded and executed in a Femto-Container. Our experiments on various popular micro-controller architectures (Arm Cortex-M, ESP32 and RISC-V) show that Femto-Containers offer an attractive trade-off in terms of memory footprint overhead, energy consumption, and security.","middleware, virtual machine, IoT, security, container, low-power, function-as-a-service, microcontroller"
"Chen T,Sun Y",Task-Guided and Path-Augmented Heterogeneous Network Embedding for Author Identification,2017,295–304,9,9781450346757,https://doi.org/10.1145/3018661.3018735,"In this paper, we study the problem of author identification under double-blind review setting, which is to identify potential authors given information of an anonymized paper. Different from existing approaches that rely heavily on feature engineering, we propose to use network embedding approach to address the problem, which can automatically represent nodes into lower dimensional feature vectors. However, there are two major limitations in recent studies on network embedding: (1) they are usually general-purpose embedding methods, which are independent of the specific tasks; and (2) most of these approaches can only deal with homogeneous networks, where the heterogeneity of the network is ignored. Hence, challenges faced here are two folds: (1) how to embed the network under the guidance of the author identification task, and (2) how to select the best type of information due to the heterogeneity of the network.To address the challenges, we propose a task-guided and path-augmented heterogeneous network embedding model. In our model, nodes are first embedded as vectors in latent feature space. Embeddings are then shared and jointly trained according to task-specific and network-general objectives. We extend the existing unsupervised network embedding to incorporate meta paths in heterogeneous networks, and select paths according to the specific task. The guidance from author identification task for network embedding is provided both explicitly in joint training and implicitly during meta path selection. Our experiments demonstrate that by using path-augmented network embedding with task guidance, our model can obtain significantly better accuracy at identifying the true authors comparing to existing methods.","task-guided, heterogeneous information networks, network embedding, author identification, path-augmented, meta path"
"Abokhodair N,Abbar S,Vieweg S,Mejova Y",Privacy and Twitter in Qatar: Traditional Values in the Digital World,2016,66–77,11,9781450342087,https://doi.org/10.1145/2908131.2908146,"We explore the meaning of privacy from the perspective of Qatari nationals as it manifests in digital environments. Although privacy is an essential and widely respected value in many cultures, the way in which it is understood and enacted depends on context. It is especially vital to understand user behaviors regarding privacy in the digital sphere, where individuals increasingly publish personal information. Our mixed-methods analysis of 18K Twitter posts that mention privacy focuses on the face-to-face and digital contexts in which privacy is mentioned, and how those contexts lead to varied ideologies regarding privacy. We find that in the Arab Gulf, the need for privacy is often supported by Quranic text, advice on how to protect privacy is frequently discussed, and the use of paternalistic language by men when discussing women's privacy is common. Above all, privacy is framed as a communal attribute, including not only the individual, but the behavior of those around them; it even extends beyond one's lifespan. We contribute an analysis and description of these previously unexplored interpretations of privacy, which play a role in how users navigate social media.","mixed methods, gender, qatar, honor, islam, Twitter, arab world, privacy"
"Lin CW,Yu H",Invited - Cooperation or Competition? Coexistence of Safety and Security in next-Generation Ethernet-Based Automotive Networks,2016,,0,9781450342360,https://doi.org/10.1145/2897937.2905006,"Safety is traditionally the most relevant property for automotive systems, and it is further enhanced by Advanced Driver Assistance Systems (ADAS) in modern automotive systems. To support ADAS and other advanced autonomous functions, automotive electronic systems become more distributed and connected than ever, with in-vehicle architecture or Vehicle-to-X (V2X) communication. These connections create a variety of interfaces which become breeding grounds for security attacks. Accordingly, security becomes a rising issue for automotive systems. In this paper, we address safety and security together, especially their interactions, in Ethernet-based automotive networks which are believed to be the next-generation automotive networks since they are able to provide high bandwidths, certain timing guarantees, and well-developed technologies. We discuss the interactions between safety and security in three problems: secret key management, frame replication and elimination, and Virtual Local Area Network (VLAN) segmentation. We demonstrate that safety and security can work together, but sometimes there is a trade-off between them. This indicates that safety cannot stand alone without considering security, and network security is a necessary component of system security. Towards safer and securer automotive systems, safety and security should be considered together during design stages of automotive systems.","security, automotive systems, ethernet, time-sensitive networking (TSN), cyber-physical systems, safety, network, virtual local area network (VLAN)"
"Eltweri A,Faccia A,Khassawneh O",Applications of Big Data within Finance: Fraud Detection and Risk Management within the Real Estate Industry,2022,67–73,6,9781450387392,https://doi.org/10.1145/3510249.3510262,"Big Data within the world of finance is about large, complex, and diverse (unstructured and structured) data sets that may be employed in providing solutions across the world for business challenges within banking companies and financial services that are long-standing. Big Data helps in enhancing the significance of FinTech in offering numerous financial services for users, facilitating the distribution of new payment, financing, and exchange services within an increasingly large proportion of the population. Technological developments have changed our lives profoundly, particularly over the last two decades. All fields of the economy have been changed, so it is hardly surprising that the world of real estate has been impacted by technological advances. Indeed, great technological strides have been made within the financial world that has allowed both professionals and amateurs to employ technical, innovative solutions that may lead to improved performance both within personally used commercial activity and for the purposes of commerce. Various applications of Big Data have been very beneficial for the world of finance because of new innovations in various technologies. The focus of this research has been upon the undertaking of a systematic analysis related to the technologies that are considered most important and that currently allow great progress to be made in fraud detection and risk management within the real estate industry by analysing the data collected. The particular focus of the research has been to highlight 3 particular interest areas, namely: i) FinTech and Big Data, ii) risk management, iii) fraud detection. A recent case study related to scandals that have arisen in the FinTech industry has provided further help in support of the research hypotheses and the conclusions are drawn.","Risk management, Fintech, Big Data, PropTech, Fraud Detection, Real Estate Industry"
"Holmes B,Waterman J,Williams D",KASLR in the Age of MicroVMs,2022,149–165,16,9781450391627,https://doi.org/10.1145/3492321.3519578,"Address space layout randomization (ASLR) is a widely used component of computer security aimed at preventing code reuse and/or data-only attacks. Modern kernels utilize kernel ASLR (KASLR) and finer-grained forms, such as functional granular KASLR (FGKASLR), but do so as part of an inefficient bootstrapping process we call bootstrap self-randomization. Meanwhile, under increasing pressure to optimize their boot times, microVM architectures such as AWS Firecracker have resorted to eliminating bootstrapping steps, particularly decompression and relocation from the guest kernel boot process, leaving them without KASLR. In this paper, we present in-monitor KASLR, in which the virtual machine monitor efficiently implements KASLR for the guest kernel by skipping the expensive kernel self-relocation steps. We prototype in-monitor KASLR and FGKASLR in the open-source Firecracker virtual machine monitor demonstrating, on a microVM configured kernel, boot times 22% and 16% faster than bootstrapped KASLR and FGKASLR methods, respectively. We also show the low overhead of in-monitor KASLR, with only 4% (2 ms) increase in boot times on average compared to a kernel without KASLR. We also discuss the implications and future opportunities for in-monitor approaches.","KASLR, operating systems, security, MicroVM, virtual machines"
"Pachilakis M,Papadopoulos P,Laoutaris N,Markatos EP,Kourtellis N",YourAdvalue: Measuring Advertising Price Dynamics without Bankrupting User Privacy,2021,,0,,https://doi.org/10.1145/3491044,"The Real Time Bidding (RTB) protocol is by now more than a decade old. During this time, a handful of measurement papers have looked at bidding strategies, personal information flow, and cost of display advertising through RTB. In this paper, we present YourAdvalue, a privacy-preserving tool for displaying to end-users in a simple and intuitive manner their advertising value as seen through RTB. Using YourAdvalue, we measure desktop RTB prices in the wild, and compare them with desktop and mobile RTB prices reported by past work. We present how it estimates ad prices that are encrypted, and how it preserves user privacy while reporting results back to a data-server for analysis. We deployed our system, disseminated its browser extension, and collected data from 200 users, including 12000 ad impressions over 11 months. By analyzing this dataset, we show that desktop RTB prices have grown 4.6x over desktop RTB prices measured in 2013, and 3.8x over mobile RTB prices measured in 2015. We also study how user demographics associate with the intensity of RTB ecosystem tracking, leading to higher ad prices. We find that exchanging data between advertisers and/or data brokers through cookie-synchronization increases the median value of display ads by 19%. We also find that female and younger users are more targeted, suffering more tracking (via cookie synchronization) than male or elder users. As a result of this targeting in our dataset, the advertising value (i) of women is 2.4x higher than that of men, (ii) of 25-34 year-olds is 2.5x higher than that of 35-44 year-olds, (iii) is most expensive on weekends and early mornings.","real time bidding ad-auctions, advertising transparency, user privacy and anonymity"
"Jäger L,Lorych D,Eckel M",A Resilient Network Node for the Industrial Internet of Things,2022,,0,9781450396707,https://doi.org/10.1145/3538969.3538989,"The Industrial Internet of Things (IIoT) is a ubiquitous part of modern production processes. This introduces new challenges to classical security architectures for industrial networks like the perimeter approach. These are made obsolete by the increasing horizontal and vertical integration of industrial systems and IT systems. A promising concept to face these challenges is resilience. This term describes systems or networks that can isolate compromised parts of themselves and reset them to a trustworthy state with minimal impact to the functionality of the overall system. In order to bring this concept to IIoT networks, we present a novel embedded network node that uses Trusted Computing technology such as a Trusted Platform Module (TPM) and Remote Attestation for attack detection and reporting, virtualization for the separation of processes with different criticalities and an authenticated watchdog for guaranteed platform resets as a form of return to an uncompromised state. This combination provides secure mechanisms for resilience on a platform level and can serve as a foundation for network resilience based on Software-Defined Networking (SDN) solutions. The architecture and implementation of the proposed network node are described in detail before evaluating its resource consumption and performance in order to demonstrate its suitability for embedded and IIoT contexts.","TPM, Industrial IoT, Virtualization, Trusted Computing, Authenticated Watchdog"
"Varela JA,Wehn N,Desmettre S,Korn R",Real-Time Financial Risk Measurement of Dynamic Complex Portfolios with Python and PyOpenCL,2017,,0,9781450351249,https://doi.org/10.1145/3149869.3149872,"Risk measures, such as value-at-risk and expected shortfall, are widely used to keep track of the risk at which a financial portfolio is exposed. This analysis is not only a key part of the daily operation of financial institutions worldwide, but it is also strictly enforced by regulators. While nested Monte Carlo simulations are the most flexible approach that can even deal with portfolios containing complicated derivatives, they traditionally suffer from a high computational complexity. This limits their application at certain intervals of time, mostly daily, by temporarily keeping the composition of the portfolio static.In this work, we bring together for the first time nested Monte Carlo simulations with the real-time continuous risk measurement of complex portfolios that dynamically change their composition during intraday operation. By combining the development productivity offered by Python, state-of-the-art mathematical optimizations, and the high performance capabilities offered by PyOpenCL targeting heterogeneous computing systems, our new approach reaches a throughput between 16 and 191 trading orders per second per computing node, which corresponds to the worst-case and best-case scenarios respectively.We have also made use of the Jupyter Notebook, as an interactive interface in an interdisciplinary research environment.","pyopencl, expected shortfall, value-at-risk, nested Monte Carlo simulations, component value-at-risk, real-time portfolio risk management, python, finance, jupyter notebook"
"Domingues AC,de Mattos EP,Silva FA,Ramos HS,Loureiro AA",Social Mix-Zones: Anonymizing Personal Information on Contact Tracing Data,2021,81–88,7,9781450390781,https://doi.org/10.1145/3479240.3488533,"In many different contexts, the encounter between two or more individuals opens a window in which information can be exchanged. Considering Mobile Ad hoc Networks (MANETs) scenarios, encounters - also called contacts - are used to transfer data between nodes (the users). In more recent cases, tracing contacts between individuals has shown to be a strong strategy in mapping the transmission of contagious diseases, such as COVID-19. However, sharing contact data can impose threats to the safety of participants regarding their social and mobility behavior. As an example, we can infer acquaintances, as well as home and work locations. This work presents a strategy to anonymize contact tracing data by utilizing mix-zones, a well-defined concept to anonymize data in a given region. Called social mix-zones, it considers the number of contacts happening in a location, producing anonymized data and protecting the personal integrity of the individuals. We validate the proposal using two real contact tracing data, showing that social mix-zones can cover a large portion of contacts, reducing the risk of malicious location attacks.","contact tracing, anonymization, mix-zones, location privacy"
"Paridari K,El-Din Mady A,La Porta S,Chabukswar R,Blanco J,Teixeira A,Sandberg H,Boubekeur M",Cyber-Physical-Security Framework for Building Energy Management System,2016,,0,,,"Energy management systems (EMS) are used to control energy usage in buildings and campuses, by employing technologies such as supervisory control and data acquisition (SCADA) and building management systems (BMS), in order to provide reliable energy supply and maximise user comfort while minimising energy usage. Historically, EMS systems were installed when potential security threats were only physical. Nowadays, EMS systems are connected to the building network and as a result directly to the outside world. This extends the attack surface to potential sophisticated cyber-attacks, which adversely impact EMS operation, resulting in service interruption and downstream financial implications. Currently, the security systems that detect attacks operate independently to those which deploy resiliency policies and use very basic methods. We propose a novel EMS cyber-physical-security framework that executes a resilient policy whenever an attack is detected using security analytics. In this framework, both the resilient policy and the security analytics are driven by EMS data, where the physical correlations between the data-points are identified to detect outliers and then the control loop is closed using an estimated value in place of the outlier. The framework has been tested using a reduced order model of a real EMS site.","energy management system, virtual sensor, resilient control, cyber-physical-security, security analytics"
"Robert LP,You S",Disaggregating the Impacts of Virtuality on Team Identification,2018,309–321,12,9781450355629,https://doi.org/10.1145/3148330.3148337,"Team identification is an important predictor of team success. As teams become more virtual, team identification is expected to become more important. Yet, the dimensions of virtuality such as geographic dispersion, reliance on electronic communications and diversity in team membership can undermine team identification. To better understand the impact of virtuality, the authors conducted a study with 248 employees in 55 teams to examine the complex and codependent effects of virtuality. Results indicate that although geographic dispersion and perceived differences can undermine team identification, reliance on electronic communications increases team identification and weakens the negative relationship between perceived differences and team identification.","virtuality, virtual team, team identification"
