"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Audio Example Recognition and Retrieval Based on Geometric Incremental Learning Support Vector Machine System","L. Fan","School of Statistics, Capital University of Economics and Business, Beijing, China","IEEE Access","6 May 2020","2020","8","","78630","78638","With the fast development of computer and information technology, multimedia data has become the most important form of information media. Auditory information plays an important role in information location, this comes from the fact that it can be difficult to find useful information. Thus audio classification becomes more important in audio analysis as it prepares for content-based audio retrieval. There is quite a bit of research on the topic of audio classification methods, audio feature analysis, and extraction based on audio classification. Many works of literature extract features of audio signals based on time or Fourier transform frequency domain. The emergence of the wavelet theory provides a time-frequency analysis tool for signal analysis. Wavelet transformation is a local transformation of the signal in time and frequency which can effectively extract information from the signal, and perform multi-scale refinement analysis on functions or signals through operations such as stretching and translation instead of the traditional Fourier transformation. In the time-frequency analysis of the signal, the wavelet analysis captures the local time and frequency characters of the signal which can improve the ability of signal analysis. It can also change certain locals of the signal without affecting other aspects of it. In this paper, the frequency domain features are combined with the wavelet domain features. At the same time that the MFCC features are extracted, the discrete wavelet transform is used to extract the features of the wavelet domain. Then the statistical features are extracted for each audio example, and the SVM model is used to realize the different forms of audio classification identification.","2169-3536","","10.1109/ACCESS.2020.2988686","Science and Technology Granted by the Beijing Education Committee(grant numbers:KM201810038002); Key Members of the Outstanding Young Teacher by the Capital University of Economics and Business 2017; Top Talent of Youth Teacher by the Beijing Education Committee 2018; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9072167","Content audio;wavelet transform;audio feature;audio processing","Support vector machines;Feature extraction;Training;Time-frequency analysis;Artificial neural networks;Speech recognition;Fans","audio signal processing;discrete wavelet transforms;feature extraction;Fourier transforms;learning (artificial intelligence);signal classification;support vector machines;time-frequency analysis","audio example recognition;geometric incremental learning support vector machine system;multimedia data;important form;information media;auditory information;information location;audio analysis;content-based audio retrieval;audio classification methods;audio feature analysis;audio signals;wavelet theory;time-frequency analysis tool;signal analysis;wavelet transformation;local transformation;multiscale refinement analysis;traditional Fourier transformation;wavelet analysis;local time;frequency characters;frequency domain features;wavelet domain features;MFCC features;statistical features;audio classification identification","","5","","32","CCBY","20 Apr 2020","","","IEEE","IEEE Journals"
"Content-Based E-Commerce Image Classification Research","X. Zhang","School of Business, Xuchang University, Xuchang, China","IEEE Access","10 Sep 2020","2020","8","","160213","160220","The 21st century is the era of big data in the Internet. Online shopping has become a trend, and e-commerce has developed rapidly. With the exponential increase of the amount of commodity image data, the management of massive commodity image database restricts the development of e-commerce to some extent. In order to effectively manage goods and improve the accuracy and efficiency of product image retrieval, this paper uses content-based methods to classify e-commerce images. Aiming at the problems of insufficient classification accuracy and long classification training time in e-commerce image classification, an adaptive momentum learning rate based LBP-DBN training algorithm-AML-LBP-DBN and commodity image classification method based on image local feature multi-level clustering and image-class nearest neighbor classifier are proposed. By simulating the commodity identification dataset RPC, the results show that the proposed method has obvious advantages in the classification training time and classification accuracy of e-commerce images.","2169-3536","","10.1109/ACCESS.2020.3018877","Soft Science Research Program of Henan Province: Research on the Linkage Development Path between characteristic industries of Henan Province and E-commerce(grant numbers:124); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9174782","E-commerce;commodity image classification;adaptive training;local feature multi-level clustering","Image classification;Feature extraction;Training;Classification algorithms;Machine learning;Face recognition;Encoding","content-based retrieval;electronic commerce;feature extraction;image classification;image retrieval;Internet;learning (artificial intelligence);pattern clustering;visual databases","AML-LBP-DBN;LBP-DBN training algorithm;commodity identification dataset RPC;image local feature multilevel clustering;classification training time;e-commerce images;product image retrieval;massive commodity image database;commodity image data;online shopping;big data;e-commerce image classification research","","3","","33","CCBY","24 Aug 2020","","","IEEE","IEEE Journals"
"Optimization of Wireless Video Surveillance System for Smart Campus Based on Internet of Things","Z. Zhou; H. Yu; H. Shi","School of Information Engineering, Pingdingshan University, Pingdingshan, China; School of Information Engineering, Pingdingshan University, Pingdingshan, China; School of Information Engineering, Pingdingshan University, Pingdingshan, China","IEEE Access","4 Aug 2020","2020","8","","136434","136448","In order to strengthen school security and build a wireless smart campus, this article optimizes the existing wireless video surveillance system based on the Internet of Things. This paper first optimizes the surveillance quality in the video surveillance system, and proposes a zero-copy buffer strategy, a network congestion suppression strategy, and a codec rate coordination strategy. Secondly, for the distributed wide area video surveillance system, a tracking optimization method based on multi-camera fusion is proposed. Finally, this paper constructs a Bayesian monitoring event modeling method based on genetic algorithm. Experimental results show that the optimized video surveillance system has basically stable delay, significantly reduced packet loss rate, and smooth video playback. This method can effectively realize the coordinated tracking of multiple cameras in a wide-area monitoring scenario, achieve high tracking and monitoring performance, and meet the requirements of smart campus construction.","2169-3536","","10.1109/ACCESS.2020.3011951","Science and Technology Research Plan of Henan Province (Research on Intelligent Physical Signs Monitoring System of Home-Based Elderly Care Based on IoT Technology)(grant numbers:162102310248); Pingdingshan University Fund Carry Forward Project (Research on Key Technologies of Intelligent Home Care Equipment for the Elderly Based on IoT Technology)(grant numbers:JZ2017026); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9149620","Internet of Things;smart campus;video surveillance;optimization","Cameras;Target tracking;Video surveillance;Streaming media;Classification algorithms;Internet of Things","cameras;educational institutions;genetic algorithms;image fusion;Internet of Things;video surveillance","packet loss rate;multiple cameras;genetic algorithm;Bayesian monitoring event modeling method;zero-copy buffer strategy;Internet of Things;smart campus construction;wide-area monitoring scenario;coordinated tracking;smooth video playback;multicamera fusion;tracking optimization method;distributed wide area video surveillance system;codec rate coordination strategy;network congestion suppression strategy;wireless video surveillance system;wireless smart campus;school security","","11","","37","CCBY","27 Jul 2020","","","IEEE","IEEE Journals"
"Deployment Strategies for Large Intelligent Surfaces","A. Pereira; F. Rusek; M. Gomes; R. Dinis","Department of Electrical and Computer Engineering, University of Coimbra, Coimbra, Portugal; Department of Electrical and Information Technology, Lund University, Lund, Sweden; Department of Electrical and Computer Engineering, University of Coimbra, Coimbra, Portugal; UNL, FCT, Caparica, Portugal","IEEE Access","15 Jun 2022","2022","10","","61753","61768","Beyond 5G communication systems must be able to meet the requirements imposed by the ever-increasing demand in capacity, while guaranteeing robustness, reliability, low latency, security, as well as spectral and power efficiencies. Large intelligent surfaces (LIS) as an evolution of massive MIMO have drawn considerable attention among researchers, being already considered as one of the key technologies to be included in beyond 5G communication systems. Due to the massive number of antennas, it also brings several challenges namely in terms of computational complexity. In this paper, we intend to provide guidelines for the LIS practical implementation and configuration by specifying system parameters and their consequent relationship for a panel-based LIS. In particular, the interplay between the number of baseband outputs per square metre, the fraction of activated area, the panel size and terminal density is summarised by an empirical law under the assumption that all terminals experience reasonable quality of service. Furthermore, performance results show that, in general, moderate panel sizes offer the best rates, highlighting that there is no need to activate a large fraction of LIS to provide an acceptable minimum terminal rate. However, such fractions may require more baseband outputs per panel, leading to a higher number of baseband outputs per square metre, translating into higher implementation complexity. Finally, it is observed that the implicit rate loss of using sparse static panel deployments instead of contiguous panel deployments that are dynamically activated/deactivated is not so significant, omitting the complexity involved in managing the set of activated panels.","2169-3536","","10.1109/ACCESS.2022.3181757","Fundação para a Ciência e Tecnologia/Ministério da Ciência, Tecnologia e Ensino Superior (FCT/MCTES) and the Instituto de Telecomunicações (IT) through National Funds(grant numbers:FEDER-PT2020); Competitiveness and Internationalization Operational Programme (COMPETE 2020)(grant numbers:UIDB/50008/2020,UIDP/50008/2020); MASSIVE5G(grant numbers:PTDC/EEI-TEL/30588/2017); Ph.D.(grant numbers:SFRH/BD/137745/2018); Swedish Research Council (VR); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9792258","Large intelligent surfaces (LIS);massive MIMO;beyond 5G systems;spacial resource allocation;dynamic resource allocation","Antennas;Baseband;5G mobile communication;Central Processing Unit;Transmitting antennas;Resource management;Computational complexity","5G mobile communication;computational complexity;MIMO communication;quality of service;telecommunication network planning","deployment strategies;large intelligent surfaces;beyond 5G communication systems;spectral power efficiencies;massive MIMO;computational complexity;system parameters;panel-based LIS;baseband outputs;square metre;activated area;panel size;terminal density;general panel sizes;moderate panel sizes;acceptable minimum terminal rate;higher implementation complexity;sparse static panel deployments;contiguous panel deployments;activated panels","","","","28","CCBY","9 Jun 2022","","","IEEE","IEEE Journals"
"Improvement SVM Classification Performance of Hyperspectral Image Using Chaotic Sequences in Artificial Bee Colony","C. Zhao; H. Zhao; G. Wang; H. Chen","Zhujiang College, Tianjin University of Finance and Economics, Tianjin, China; College of Electronic Information Engineering, Hebei University of Technology, Tianjin, China; Department of Computer Science and Technology, Tianjin University Renai College, Tianjin, China; College of Electronic Information Engineering, Hebei University of Technology, Tianjin, China","IEEE Access","28 Apr 2020","2020","8","","73947","73956","Artificial bee colony algorithm is an effective algorithm for parameter optimization, but the traditional artificial bee colony algorithm is liable to fall into local extreme points at a later stage. In this paper, we propose an improved artificial bee colony optimization algorithm, which solves the problems of premature convergence and falling into the local extreme value in the classification of hyperspectral images. First we use an improved chaotic sequence with higher randomness to initialize and update nectar sources to expand the distribution of nectar sources. Secondly, the optimized adaptive step size is introduced into the neighborhood search to speed up the algorithm convergence and improve the search efficiency. Then we build an improved artificial bee colony algorithm support vector machine optimization model to mine the optimal values of penalty factor  $C$  and kernel function parameter  $\sigma $ . Next, the model was used to perform classification experiments on two hyperspectral images (University of Pavia, Indian Pine) with different attributes, and compared with the traditional bee colony algorithm, genetic algorithm, and particle swarm algorithm. Experimental results on HSI datasets demonstrate the superiority of the proposed method over several well-known methods in both classification accuracy and convergence speed.","2169-3536","","10.1109/ACCESS.2020.2987865","Foundation of Science and Technology on Electro-Optical Information Security Control Laboratory(grant numbers:614210701041705); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066922","Artificial bee colony;support vector machine;hyperspectral image;chaotic sequence","Support vector machines;Classification algorithms;Optimization;Sociology;Statistics;Mathematical model","artificial bee colony algorithm;chaos;convergence;hyperspectral imaging;image classification;image sequences;search problems;support vector machines","penalty factor C;improved artificial bee colony algorithm;neighborhood search;premature convergence problem;search efficiency;SVM classification performance improvement;kernel function parameter;support vector machine optimization model;algorithm convergence;optimized adaptive step size;nectar sources;improved chaotic sequence;local extreme value;improved artificial bee colony optimization algorithm;local extreme points;traditional artificial bee colony algorithm;parameter optimization;chaotic sequences;hyperspectral image classification;convergence speed;classification accuracy;particle swarm algorithm;genetic algorithm","","16","","36","CCBY","14 Apr 2020","","","IEEE","IEEE Journals"
"RF Compliance Study of Temperature Elevation in Human Head Model Around 28 GHz for 5G User Equipment Application: Simulation Analysis","W. He; B. Xu; M. Gustafsson; Z. Ying; S. He","Zhejiang Provincial Key Laboratory for Sensing Technologies, Centre for Optical and Electromagnetic Research, Zhejiang University, Hangzhou, China; Zhejiang Provincial Key Laboratory for Sensing Technologies, Centre for Optical and Electromagnetic Research, Zhejiang University, Hangzhou, China; Department of Electrical and Information Technology, Lund University, Lund, Sweden; Network Technology Laboratory, Research and Technology, Sony Mobile Communications AB, Lund, Sweden; Zhejiang Provincial Key Laboratory for Sensing Technologies, Centre for Optical and Electromagnetic Research, Zhejiang University, Hangzhou, China","IEEE Access","14 Feb 2018","2018","6","","830","838","The crowdedness of current cellular bands and the demand for higher transmission speed prompt the use of the millimeter-wave spectrum for the next-generation mobile communication. In the millimeter-wave frequencies, the dosimetric quantity for human exposure to electromagnetic fields changes from the specific absorption rate to incident power density. In this paper, we used 28-GHz beam-steering patch arrays, a dipole antenna, and plane waves to investigate the temperature elevation in a multi-layer model of human head and its correlation with power density metrics. The power density averaged over one square-centimeter in free space and the peak temperature elevation in tissue at 28 GHz have good correlation. The peak temperature elevation indicated by the power density averaged one square-centimeter also agrees well with the peak temperature elevation induced by the plane waves. The results show that the averaging area of a few square-centimeters may be a good candidate for the spatial-average power density. The findings provide valuable input to the ongoing revision and updating of relevant safety standards and guidelines.","2169-3536","","10.1109/ACCESS.2017.2776145","Program of Zhejiang Leading Team of Science and Technology Innovation(grant numbers:2010R50007); Swedish VR; AOARD; Fundamental Research Funds for Central Universities; China Scholarship Council(grant numbers:201506320137); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8116625","28 GHz;5G;antenna array;human head;incident power density;millimeter wave;RF compliance;safety guidelines;safety standards;temperature elevation;user equipment","Density measurement;Antenna arrays;Power system measurements;5G mobile communication;Radio frequency;Guidelines","5G mobile communication;beam steering;biological effects of microwaves;biological tissues;cellular radio;dipole antenna arrays;dosimetry;electromagnetic fields;electromagnetic wave absorption;microstrip antenna arrays;mobile antennas;next generation networks","power density metrics;spatial-average power density;RF compliance study;human head model;5G user equipment application;millimeter-wave spectrum;next-generation mobile communication;millimeter-wave frequencies;human exposure;specific absorption rate;incident power density;dipole antenna;beam-steering patch arrays;electromagnetic fields;cellular bands;frequency 28.0 GHz","","40","","52","OAPA","21 Nov 2017","","","IEEE","IEEE Journals"
"Design of Chinese Character Coded Targets for Feature Point Recognition Under Motion-Blur Effect","Y. Shi; L. Zhang","College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China","IEEE Access","16 Jul 2020","2020","8","","124467","124475","Coded targets have been widely used as a type of active visual feature points in fields such as close-range photogrammetry, robot navigation, 3D reconstruction, and augmented reality. However, coded targets in degraded images, such as images with motion blur effect, are hard to recognize. To this end, a set of novel Chinese character coded targets (CCTs) is designed and tested. A CCT is a square visual marker, shown as a relative small circular feature overlaid in the middle of a square Chinese character. A white circular ring is embedded in a black circle concentrically to serve as the circular feature, which facilitates extraction of the center point of the marker for localization. Whereas the distinctive peripheral Chinese character appearance of each CCT is utilized for identification. By synthesizing simulated CCTs with different degrees of motion blur and various postures with the real background images, a Faster Region-based Convolutional Neural Network (Faster R-CNN) is trained to locate and recognize the CCTs in motion blurred images. Experimental results on both artificial and actual motion blurred images demonstrate the superiorities of the designed CCTs as well as the proposed localization and recognition pipeline.","2169-3536","","10.1109/ACCESS.2020.3006020","National Natural Science Foundation of China(grant numbers:51575276); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9129711","Chinese character coded targets (CCTs);coded target;faster R-CNN;motion blur;target recognition","Training;Decoding;Target recognition;Image recognition;Visualization;Three-dimensional displays;Feature extraction","character recognition;convolutional neural nets;feature extraction;image motion analysis;image recognition;image reconstruction;image restoration;image sensors;photogrammetry","Chinese character coded targets;feature point recognition;motion-blur effect;active visual feature points;close-range photogrammetry;robot navigation;degraded images;motion blur effect;CCT;square visual marker;circular feature;square Chinese character;white circular ring;center point;distinctive peripheral Chinese character appearance;background images;faster region-based convolutional neural network;artificial motion blurred images;actual motion blurred images;designed CCT;simulated CCT","","5","","21","CCBY","30 Jun 2020","","","IEEE","IEEE Journals"
"Towards the Mobile Detection of Cervical Lesions: A Region-Based Approach for the Analysis of Microscopic Images","A. F. Sampaio; L. Rosado; M. J. M. Vasconcelos","Fraunhofer Portugal AICOS, Porto, Portugal; Fraunhofer Portugal AICOS, Porto, Portugal; Fraunhofer Portugal AICOS, Porto, Portugal","IEEE Access","19 Nov 2021","2021","9","","152188","152205","Given the current prevalence and impact of cervical cancer worldwide, many technological developments focused on automating the screening process have arisen recently. Nonetheless, there is still a clear need for affordable, portable and automated IoT-based solutions to expand the coverage of current cervical screening programs worldwide. This is particularly relevant for lower-resource countries, which account for 88% of all cervical cancer-related deaths. This work proposes a low-cost, smartphone-based microscopy device for the analysis of liquid-based cytology samples, through autonomous image acquisition and automated identification of cervical lesions. Different deep learning models for object detection were separately optimised and compared to select the most adequate network architecture. Transfer learning from a similar application domain - conventional cytology - was also investigated as a way of improving the robustness of the analysis pipeline, as well as overcoming the limitations of the mobile-acquired image dataset specifically collected and manually annotated by specialists under the scope of this work. In this process, a detection performance benchmark in the SIPAKMED dataset - test mean average precision (mAP) of 0.37798 and average recall (AR) of 0.63651 - was reported for the first time. Although further improvements are required for its integration in a computer-aided diagnosis system sufficiently reliable for deployment in a clinical context, the explored approach exhibits promising results (cross-validation mAP of 0.20315, AR of 0.46572 and analysis time of 4 minutes per cytological sample), corresponding to a step forward in the development of a cost-effective mobile IoT framework that supports cervical lesion screening.","2169-3536","","10.1109/ACCESS.2021.3126486","project CLARE: Computer-Aided Cervical Cancer Screening(grant numbers:POCI-01-0145-FEDER-028857); European Regional Development Fund (FEDER) through Operational Programme for Competitiveness and Internationalisation (COMPETE 2020) and National Funds through the Foundation for Science and Technology (FCT/MCTES); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9606873","Artificial intelligence;computer aided diagnosis;deep learning;Internet of Things;knowledge transfer;microscopy;object detection;telemedicine","Microscopy;Lesions;Cervical cancer;Feature extraction;Computer architecture;Pipelines;Microprocessors","biomedical optical imaging;cancer;deep learning (artificial intelligence);gynaecology;Internet of Things;medical image processing;object detection;optical microscopy;smart phones","autonomous image acquisition;deep learning models;mobile-acquired image dataset;cervical lesion screening;mobile detection;region-based approach;microscopic images;cervical cancer;automated IoT-based solutions;current cervical screening programs;smartphone-based microscopy device;liquid-based cytology samples;mobile IoT framework;computer-aided diagnosis system;time 4.0 min","","3","","47","CCBYNCND","8 Nov 2021","","","IEEE","IEEE Journals"
"Region-of-Interest Compression and View Synthesis for Light Field Video Streaming","B. Wang; Q. Peng; E. Wang; K. Han; W. Xiang","Southwest Jiaotong University, Chengdu, Sichuan, CN; Southwest Jiaotong University, Chengdu, Sichuan, CN; James Cook University, Townsville, QLD, AU; James Cook University, Townsville, QLD, AU; James Cook University, Townsville, QLD, AU","IEEE Access","9 Apr 2019","2019","7","","41183","41192","Light field videos provide a rich representation of real-world, thus the research of this technology is of urgency and interest for both the scientific community and industries. Light field applications such as virtual reality and post-production in the movie industry require a large number of viewpoints of the captured scene to achieve an immersive experience, and this creates a significant burden on light field compression and streaming. In this paper, we first present a light field video dataset captured with a plenoptic camera. Then a new region-of-interest (ROI)-based video compression method is designed for light field videos. In order to further improve the compression performance, a novel view synthesis algorithm is presented to generate arbitrary viewpoints at the receiver. The experimental evaluation of four light field video sequences demonstrates that the proposed ROI-based compression method can save 5%-7% in bitrates in comparison to conventional light field video compression methods. Furthermore, the proposed view synthesis-based compression method not only can achieve a reduction of about 50% in bitrates against conventional compression methods, but the synthesized views can exhibit identical visual quality as their ground truth.","2169-3536","","10.1109/ACCESS.2019.2907572","Natural Science Foundation of Beijing Municipality(grant numbers:L182032); National Natural Science Foundation of China(grant numbers:61772436); China Scholarship Council(grant numbers:201707000093); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8674797","Light field;video compression;region-of-interest;view synthesis;light field video dataset","Streaming media;Video sequences;Cameras;Correlation;Video coding;Light fields;Image coding","data compression;image sequences;video coding;video signal processing;video streaming","compression performance;view synthesis algorithm;light field video sequences;conventional light field video compression methods;region-of-interest compression;light field video streaming;scientific community;industries;light field video dataset;ROI","","16","1","26","OAPA","26 Mar 2019","","","IEEE","IEEE Journals"
"Neural-Based Ensembles for Particulate Matter Forecasting","P. S. G. De Mattos Neto; P. R. A. Firmino; H. Siqueira; Y. De Souza Tadano; T. A. Alves; J. F. L. De Oliveira; M. H. Da Nóbrega Marinho; F. Madeiro","Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil; Center of Science and Technology, Federal University of Cariri, Juazeiro do Norte, Brazil; Department of Electrical Engineering, Federal University of Technology—Paraná, Ponta Grossa, Brazil; Department of Mechanical Engineering, Federal University of Technology—Paraná, Ponta Grossa, Brazil; Department of Mathematics, Federal University of Technology—Paraná, Ponta Grossa, Brazil; Polytechnic School of Pernambuco, University of Pernambuco, Recife, Brazil; Polytechnic School of Pernambuco, University of Pernambuco, Recife, Brazil; UNICAP, ICAM-Tech International School, Catholic University of Pernambuco, Recife, Brazil","IEEE Access","25 Jan 2021","2021","9","","14470","14490","The air pollution caused by particulate matter (PM) has become a public health issue due to the risks to human life and the environment. The PM concentration in the air causes haze and affects the lungs and the heart, leading to reduced visibility, allergic reactions, pneumonia, asthma, cardiopulmonary diseases, lung cancer, and even death. In this context, the development of systems for monitoring, forecasting, and controlling emissions plays an important role. The literature about forecasting systems based on Artificial Neural Networks (ANNs) ensembles has been highlighted regarding statistical accuracy and efficiency. In this article, trainable and non-trainable combination methods are used for PM10 and PM2.5 (particles with an aerodynamic diameter less than 10 and 2.5 micrometers, respectively) time series forecasting for eight different locations, in Finland and Brazil, for different periods. Trainable ensembles based on ANNs, linear regression, and Copulas are compared with non-trainable combinations (mean and median), single ANNs, and linear statistical approaches. Different models are considered so far, including Autoregressive model (AR), Autoregressive and Moving Average Model (ARMA), Infinite Impulse Response Filters (IIR), Multilayer Perceptron (MLP), Radial Basis Function Networks (RBF), Extreme Learning Machines (ELM), Echo State Networks (ESN), and Adaptive Network Fuzzy Inference System (ANFIS). The use of ANNs ensembles, mainly combined with MLP, leads to a better one step ahead forecasting performance. The use of robust air pollution forecasting tools is prime to assist governments in managing air pollution issues like hospital collapse during adverse air quality situations. In this sense, our study is indirectly related to the following United Nations sustainable development goals: SDG 3 - good health and well-being and SDG 11 - sustainable cities and communities.","2169-3536","","10.1109/ACCESS.2021.3050437","Brazilian agencies—Brazilian National Council for Scientific and Technological Development(grant numbers:405580/2018-5,308725/2015-8,315027/2018-5,315298/2020-0); Araucaria Foundation(grant numbers:51497); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319268","Forecasting;particulate matter;artificial neural networks;ensemble","Forecasting;Predictive models;Mathematical model;Time series analysis;Air pollution;Biological system modeling;Atmospheric modeling","air pollution;air quality;autoregressive moving average processes;autoregressive processes;cancer;diseases;forecasting theory;fuzzy reasoning;learning (artificial intelligence);lung;multilayer perceptrons;neural nets;radial basis function networks;regression analysis;statistical analysis;sustainable development;time series","linear statistical approaches;Autoregressive model;Infinite Impulse Response Filters;MLP;Radial Basis Function Networks;Extreme Learning Machines;Echo State Networks;Adaptive Network Fuzzy Inference System;ANNs ensembles;robust air pollution forecasting tools;air pollution issues;adverse air quality situations;United Nations sustainable development goals;single ANNs;linear regression;trainable ensembles;time series forecasting;aerodynamic diameter;PM10;nontrainable combination methods;statistical accuracy;Artificial Neural Networks ensembles;controlling emissions;monitoring forecasting;lung cancer;cardiopulmonary diseases;asthma;pneumonia;allergic reactions;reduced visibility;heart;lungs;haze;PM concentration;human life;public health issue;particulate matter forecasting","","18","","100","CCBY","11 Jan 2021","","","IEEE","IEEE Journals"
"Brain Tumor Detection and Classification Using Intelligence Techniques: An Overview","S. Solanki; U. P. Singh; S. S. Chouhan; S. Jain","Department of Computer Science Engineering, LNCT University, Bhopal, India; School of Mathematics, Shri Mata Vaishno Devi University, Katra, India; School of Computing Science and Engineering, VIT Bhopal University, Sehore, Madhya Pradesh, India; Department of Computer Science and Information Technology, Central University of Jammu, Jammu, Jammu and Kashmir, India","IEEE Access","13 Feb 2023","2023","11","","12870","12886","A tumor is carried on by rapid and uncontrolled cell growth in the brain. If it is not treated in the initial phases, it could prove fatal. Despite numerous significant efforts and encouraging outcomes, accurate segmentation and classification continue to be a challenge. Detection of brain tumors is significantly complicated by the distinctions in tumor position, structure, and proportions. The main disinterest of this study stays to offer investigators, comprehensive literature on Magnetic Resonance (MR) imaging’s ability to identify brain tumors. Using computational intelligence and statistical image processing techniques, this research paper proposed several ways to detect brain cancer and tumors. This study also shows an assessment matrix for a specific system using particular systems and dataset types. This paper also explains the morphology of brain tumors, accessible data sets, augmentation methods, component extraction, and categorization among Deep Learning (DL), Transfer Learning (TL), and Machine Learning (ML) models. Finally, our study compiles all relevant material for the identification of understanding tumors, including their benefits, drawbacks, advancements, and upcoming trends.","2169-3536","","10.1109/ACCESS.2023.3242666","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10038485","Brain tumor;image classification;image segmentation;deep learning;machine learning","Tumors;Magnetic resonance imaging;Convolutional neural networks;Deep learning;Biomedical imaging;Brain modeling;Cancer;Image segmentation;Machine learning","brain;cancer;deep learning (artificial intelligence);image classification;image segmentation;learning (artificial intelligence);medical image processing;tumours","brain cancer;brain tumor detection;brain tumors;classification;intelligence techniques;Magnetic Resonance imaging;rapid cell growth;statistical image processing techniques;tumor position;uncontrolled cell growth;understanding tumors","","","","100","CCBY","6 Feb 2023","","","IEEE","IEEE Journals"
"A Hybrid Model Combining Learning Distance Metric and DAG Support Vector Machine for Multimodal Biometric Recognition","I. Omara; A. Hagag; S. Chaib; G. Ma; F. E. Abd El-Samie; E. Song","Department of Mathematics and Computer Science, Faculty of Science, Menoufia University, Menoufia, Egypt; Department of Scientific Computing, Faculty of Computers and Artificial Intelligence, Benha University, Benha, Egypt; LabRI-SBA Lab, Ecole Superieure en Informatique, Sidi Bel Abbès, Algeria; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Department of Information Technology, College of Computer and Information Sciences, Princess NourahBint Abdulrahman University, Riyadh, Saudi Arabia; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","IEEE Access","8 Jan 2021","2021","9","","4784","4796","Metric learning has significantly improved machine learning applications such as face re-identification and image classification using K-Nearest Neighbor (KNN) and Support Vector Machine (SVM) classifiers. However, to the best of our knowledge, it has not been investigated yet, especially for the multimodal biometric recognition problem in immigration, forensic and surveillance applications with uncontrolled ear datasets. Therefore, it is interesting and very attractive to propose a novel framework for multimodal biometric recognition based on Learning Distance Metric (LDM) via kernel SVM. This paper considers metric learning for SVM by investigating a hybrid Learning Distance Metric and Directed Acyclic Graph SVM (LDM-DAGSVM) model for multimodal biometric recognition, where LDM and DAGSVM are two emerging techniques in dealing with classification problems. Different from existing multimodal biometric recognition methods, the proposed approach aims to learn Mahalanobis distance metric via kernel SVM to maximize the inter-class variations and minimize the intra-class variations, simultaneously. Experimental results on the uncontrolled datasets such as AR face and AWE ear datasets show that the proposed approach achieves competitive performance compared with models working on individual modalities and overperforms the state-of-the-art multimodal methods. The proposed model achieves five-fold classification accuracy around 99.85 % for the face and ear images.","2169-3536","","10.1109/ACCESS.2020.3035110","Higher Education Commission of Egypt and the Chinese Government; National Key Research and Development Program of China(grant numbers:2017YFC0112804); National Natural Science Foundation of China(grant numbers:81671768); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245520","Biometrics;multimodal biometrics;face and ear images;Mahalanobis distance;metric learning;DAGSVM","Biometrics (access control);Measurement;Face recognition;Ear;Support vector machines;Kernel;Biological system modeling","biometrics (access control);directed graphs;ear;face recognition;feature extraction;image classification;image fusion;image representation;learning (artificial intelligence);nearest neighbour methods;support vector machines","multimodal biometric recognition;Mahalanobis distance metric;ear images;metric learning;machine learning;support vector machine classifiers;DAG support vector machine;hybrid learning distance metric;directed acyclic graph SVM model;k nearest neighbor;face images;image representation;image classification;feature fusion","","8","","70","CCBY","30 Oct 2020","","","IEEE","IEEE Journals"
